Company Name,Address,City,State,Zip,Country,Phone,Fax,Toll Free,Email,Website,Personnel,Personnel Emails,Service Codes,Member Since,SCRA ID
"Admiral Merchants Motor Freight, Inc.","215 South 11th Street Minneapolis, MN 55403 United States",,,,,612-843-8153,215,215,,https://www.ammf.com,Member Get (a-Member);  (),info@scranet.org,T-Transportation,2005,17208
"Admiral Transfer and Rigging, Inc.","13330 Hempstead Highway Houston, TX 77040 United States",,,,,(713) 462-8855,13330,13330,,https://www.admiraltransfer.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & RiggingT-Transportation,2002,13342
Advanced Freight Dynamics LLC,"19285 Old Houston Rd. Conroe, TX 77302 United States",,,,,(281) 651-5462,19285,19285,steven@afd-web.com,https://www.afd-web.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & RiggingT-Transportation,2018,45761
Advanced Freight Dynamics LLC (B),"8703 W I-H 20 Big Spring, TX 79720 United States",,,,,(281) 651-5462,8703,8703,steven@afd-web.com,https://www.afd-web.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & RiggingT-Transportation,,50285
"Advanced Industrial Services, Inc","3250 Susquehanna Trail York, PA 17406 United States",,,,,(717) 764-9811,3250,3250,,https://www.ais-york.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & RiggingM-Millwright,2012,35547
"Advanced Rigging & Machinery Movers, LLC","P.O. Box 8298 Greenville, SC 29604 United States",,,,,(864) 850-9829,8298,8298,,https://www.advanced-rigging.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & RiggingM-Millwright,2004,16379
Advantage Machinery Services INC. (B),"210 Bray Park Road West Columbia, SC 29172 United States",,,,,(336) 463-4700,210,210,,https://www.amsrigging.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & RiggingM-MillwrightT-Transportation,,49194
"Advantage Machinery Services, INC (B)","527 Atando Avenue Charlotte, NC 28206 United States",,,,,(704) 372-3611,527,527,,https://www.amsrigging.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & RiggingM-MillwrightT-Transportation,1964,10342
"Advantage Machinery Services, INC.","P.O. Box 1848 Yadkinville, NC 27055 United States",,,,,(336) 463-4700,1848,1848,,https://www.amsrigging.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & RiggingM-MillwrightT-Transportation,1994,10259
"Advantage Machinery Services, INC. (B)","Burlington, NC 27215 United States",,,,,(336) 258-0988,1848,1848,,https://www.amsrigging.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & RiggingM-MillwrightT-Transportation,,52975
"Advantage Sales & Supply Co., Inc.","99 Servidea Dr. Ridgway, PA 15853 United States",,,,,(814) 772-4766,15853,15853,jcanfield@advantagesales.biz,https://www.advantagesales.biz,Member Get (a-Member);  (),info@scranet.org,,2026,47066
Aerial Crane Co.,"32744 Old Ocean City Road Parsonsburg, MD 21849 United States",,,,,(410) 742-1958,32744,32744,,https://www.aerial-crane.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & Rigging,2002,14082
"AeroGo, Inc.","1170 Andover Park West Seattle, WA 98188 United States",,,,,(206) 558-0099,1170,1170,,https://www.aerogo.com,Member Get (a-Member);  (),info@scranet.org,,2020,14343
Air-Weigh,"1720 Willow Creek Circle, Suite 100 Eugene, OR 97402 United States",,,,,(541) 431-3103,1720,1720,,https://,Member Get (a-Member);  (),info@scranet.org,,2023,10262
"AK Contratistas Industriales De Mexico, S.A. De C.V. (B)","Carretera Mezquital - Santa Rosa Km. 5 Apodaca, Nuevo Leon 66630 Mexico",,,,,(52) 81 8289-2200,"5
66630","5
66630",marnett@akic.net,https://www.akic.us,Member Get (a-Member);  (),info@scranet.org,C-Crane & RiggingI-InternationalM-MillwrightT-Transportation,2001,11701
"AK Industrial Contractors, Inc.","2224 Hwy. 267 South Searcy, AR 72143 United States",,,,,(501) 268-7827,2224,2224,marnett@akic.net,https://www.akic.us,Member Get (a-Member);  (),info@scranet.org,C-Crane & RiggingI-InternationalM-MillwrightT-Transportation,1989,10263
"Aker & Rosenberger, LLC","10472 Twin Spruce Rd Golden, CO 80403 United States",,,,,(720) 273-2876,10472,10472,caleb@akerrosenberger.com,https://www.akerrosenberger.com,Member Get (a-Member);  (),info@scranet.org,,2025,54004
Al Smith Rigging,"26 Track Drive Binghamton, NY 13904 United States",,,,,(607) 729-3090,13904,13904,,https://www.alsmithrigging.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & RiggingT-Transportation,1993,10902
Alamo Crane Service Inc,"16850 Alamo Parkway Selma, TX 78154 United States",,,,,(210) 344-7370,16850,16850,,https://www.alamocrane.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & RiggingT-Transportation,2021,14179
"Alan Farmer Trucking, Inc.","12050 Covered Bridge Rd. Brookwood, AL 35444 United States",,,,,(800) 413-3745,12050,12050,matt@aftrucking.com,https://www.aftrucking.com,Member Get (a-Member);  (),info@scranet.org,O-Oil FieldS-SteelT-Transportation,2026,20255
Alaska Crane,"11900 South Gambell Street Anchorage, AK 99515 United States",,,,,(907) 522-9004,11900,11900,,https://www.alaskacrane.net,Member Get (a-Member);  (),info@scranet.org,C-Crane & Rigging,2023,20846
ALATAS AMERICAS,"22015 South Freeway  HWY 288 Manvel, TX 77578 United States",,,,,(281) 431-0707,22015,22015,Luis.Escamilla@alatas.com,https://www.alatas.com,Member Get (a-Member);  (),info@scranet.org,,2021,48785
Aldridge Electric Inc.,"844 E. Rockland Rd Libertyville, IL 60048 United States",,,,,(847) 321-8356,844,844,,https://www.aldridgegroup.com,Member Get (a-Member);  (),info@scranet.org,M-MillwrightT-Transportation,2013,37244
Alera Group,"818 Town and Country Blvd Houston, TX 77024 United States",,,,,(346) 388-8179,818,818,jerry.jones@aleragroup.com,https://www.aleragroup.com,Member Get (a-Member);  (),info@scranet.org,,2026,54593
Alexander's Mobility Services,"2942 Dow Ave Tustin, CA 92780 United States",,,,,(301) 643-6973,2942,2942,sdelane@alexanders.net,"https://www.alexanders.net

",Member Get (a-Member);  (),info@scranet.org,,2024,52210
"ALL Aerials, LLC","4945 Brecksville Rd. Richfield, OH 44286 United States",,,,,(330) 659-9600,4945,4945,,https://www.allaerials.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & Rigging,2022,50353
"All Area Escort Service, Inc.","P.O. Box 745 Eastman, GA 31023 United States",,,,,(478) 374-1981,745,745,,https://,Member Get (a-Member);  (),info@scranet.org,,1992,10265
"ALL Carolina Crane & Equipment, LLC (B)","6108 Triangle Drive Raleigh, NC 27617 United States",,,,,(919) 782-2561,6108,6108,,https://www.allcrane.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & RiggingT-Transportation,,11627
"ALL Carolina Crane Rental of Wilmington, LLC (B)","10481 U.S. Hwy. 117 S.  P.O. Box 70 Rocky Point, NC 28457 United States",,,,,(910) 675-9632,10481,10481,,https://www.allcrane.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & RiggingT-Transportation,,12989
ALL Crane & Equipment Rental Corp.,"140 West 19th Street Nitro, WV 25143 United States",,,,,(304) 766-0300,140,140,,https://www.allcrane.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & RiggingT-Transportation,1991,11226
ALL Crane Rental Corp.,"683 Oakland Park Avenue Columbus, OH 43224 United States",,,,,(614) 261-1800,683,683,,https://www.allcrane.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & RiggingT-Transportation,1984,11227
"ALL Crane Rental of Alabama, LLC (B)","4531 Hamilton Blvd. Theodore, AL 36582 United States",,,,,(251) 338-1694,4531,4531,,https://www.allcrane.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & RiggingT-Transportation,,21099
"ALL Crane Rental of Florida, LLC (B)","6429 Harney Rd. Tampa, FL 33610 United States",,,,,(813) 622-7357,6429,6429,,https://www.allcrane.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & RiggingT-Transportation,,12991
"ALL Crane Rental of Georgia, Inc.","3924 Uchee Hill Hwy. Phenix City, AL 36869 United States",,,,,(706) 561-3131,3924,3924,,https://www.allcrane.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & RiggingT-Transportation,1991,11228
"ALL Crane Rental of Georgia, Inc. (B)","485 Riverside Parkway Austell, GA 30168 United States",,,,,(770) 944-3900,485,485,,https://www.allcrane.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & RiggingT-Transportation,,29893
"ALL Crane Rental of Louisiana, LLC (B)","37316 Highway 74 Geismar, LA 70734 United States",,,,,(225) 673-8886,37316,37316,,https://www.allcrane.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & RiggingT-Transportation,,35269
"ALL Crane Rental of Pennsylvania, LLC (B)","P.O. Box 505, Rt. 837 West Elizabeth, PA 15088 United States",,,,,(412) 382-4200,505,505,,https://www.allcrane.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & RiggingT-Transportation,,11705
"ALL Crane Rental of Tennessee, LLC (B)","1126 Dutch Valley Dr. Knoxville, TN 37918 United States",,,,,(865) 686-0707,1126,1126,,https://www.allcrane.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & RiggingT-Transportation,,13875
ALL Erection & Crane Rental Corp.,"4700 Acorn Dr. Independence, OH 44131 United States",,,,,(216) 524-6550,4700,4700,,https://www.allcrane.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & RiggingT-Transportation,1972,10268
"All Material Handling, Inc. (AMH)","345 N. Canal St. #C1 Chicago, IL 60606 United States",,,,,(312) 468-1373,345,345,,https://,Member Get (a-Member);  (),info@scranet.org,,2024,52212
ALL Tower Crane LLC,"3230 Columbia Road Richfield, OH 44286 United States",,,,,(330) 659-0777,3230,3230,,https://www.allcrane.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & Rigging,2022,50355
Allegheny Crane Rental,"4200 Steubenville Pike Pittsburgh, PA 15205 United States",,,,,(412) 486-7700,4200,4200,,https://www.alleghenycranerental.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & Rigging,2022,16373
Allegiance Crane & Equipment,"18333 Egret Bay Blvd.  Suite 444 Houston, TX 77058 United States",,,,,(713) 987-5438,18333,18333,,https://www.allegiancecrane.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & Rigging,2004,16756
AlleyCat Crane Service,"16 Bay Street Quincy, MA 02171 United States",,,,,(617) 719-9632,02171,02171,alie@alleycatcrane.com,https://,Member Get (a-Member);  (),info@scranet.org,C-Crane & Rigging,2021,48540
"Alliance Riggers & Constructors, Ltd.","1200 Kastrin El Paso, TX 79907 United States",,,,,(915) 591-4513,1200,1200,aconde@allianceriggers.com,https://www.allianceriggers.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & RiggingT-Transportation,1998,10271
Alliant Insurance Services,"101 Park Ave  19th Floor New York, NY 10017 United States",,,,,561) 350-4207,101,101,,https://www.Alliant.com,Member Get (a-Member);  (),info@scranet.org,,2025,53926
Allied Crane LLC,"2656 S. Sheridan Wichita, KS 67201 United States",,,,,(316) 640-4920,2656,2656,,https://www.Alliedcrane.net,Member Get (a-Member);  (),info@scranet.org,C-Crane & RiggingM-MillwrightT-Transportation,2025,51110
Allison Crane & Rigging,"2817 Lycoming Creek Road Williamsport, PA 17701 United States",,,,,(570) 494-4010,2817,2817,,https://www.allisoncrane.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & RiggingM-MillwrightO-Oil FieldS-SteelT-Transportation,1986,10273
Allison Crane & Rigging (B),"Route 924 Humboldt Hazleton Township,  18202",,,,,(570) 494-4010,924,924,,https://www.allisoncrane.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & RiggingM-MillwrightO-Oil FieldS-SteelT-Transportation,,48385
Allison Crane & Rigging (B),"1420 Golden Mile Rd. Towanda, PA 18848 United States",,,,,(570) 494-4010,1420,1420,,https://www.allisoncrane.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & RiggingM-MillwrightO-Oil FieldS-SteelT-Transportation,,48384
Allison Crane & Rigging (B),"156 US Hwy 285N Pecos, TX 79772 United States",,,,,(570) 932-0909,156,156,,https://www.allisoncrane.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & RiggingM-MillwrightO-Oil FieldS-SteelT-Transportation,,39746
Allison Crane & Rigging (B),"16552 Route 6 Mansfield, PA 16933 United States",,,,,(570) 494-4010,16552,16552,,https://www.allisoncrane.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & RiggingM-MillwrightO-Oil FieldS-SteelT-Transportation,,39745
Allison Crane & Rigging (B),"1681 Indian Hills Road Painted Post, NY 14870 United States",,,,,(570) 494-4010,1681,1681,,https://www.allisoncrane.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & RiggingM-MillwrightO-Oil FieldS-SteelT-Transportation,,39747
Allison Crane & Rigging (B),"3249 Hempland Road Rear Lancaster, PA 17601 United States",,,,,(570) 494-4010,3249,3249,,https://www.allisoncrane.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & RiggingM-MillwrightO-Oil FieldS-SteelT-Transportation,,14815
"Allstate Crane Rental, Inc.","117 Medway Rd Goose Creek, SC 29445 United States",,,,,(843) 572-1697,117,117,,https://www.rentallstatecrane.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & RiggingT-Transportation,1997,10274
"Allstates Rigging, Inc.","400 Columbus Street Two Rivers, WI 54241 United States",,,,,(920) 657-1717,400,400,,https://www.asrig.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & Rigging,2004,16746
Alpha HD Trailers,"801 2nd Ave SE Oelwein, IA 50662 United States",,,,,(405) 694-7715,801 2,801 2,rcrim@icemfgcorp.com,https://www.alphahdtrailers.com,Member Get (a-Member);  (),info@scranet.org,,2022,50330
Alpine Transport and Rigging,"38 Capital Circle Corman Park, SK S7R 0H4 Canada",,,,,(306) 651-1275,(306) 651-1275,(306) 651-1275,,https://www.alpinetransportandrigging.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & RiggingT-Transportation,2025,53092
Alpine West Cranes,"2546 Precision Drive, Ste E Minden, NV 89423 United States",,,,,(775) 902-2404,2546,2546,ltucker@alpinewest.com,https://,Member Get (a-Member);  (),info@scranet.org,C-Crane & RiggingT-Transportation,2024,52142
Alps Wire Rope Corporation,"2530 Production Drive St. Charles, IL 60174 United States",,,,,(630) 893-3888,2530,2530,,https://www.alpswirerope.com,Member Get (a-Member);  (),info@scranet.org,,2026,34839
ALT Sales Corp.,"4945 Brecksville Rd. Richfield, OH 44286 United States",,,,,(330) 659-2100,4945,4945,,https://www.altsales.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & Rigging,2022,50354
Altec Inc.,"431 Ambrose Drive Murphy, TX 75094 United States",,,,,(205) 484-5166,431,431,rumeal.standifer@altec.com,https://www.altec.com,Member Get (a-Member);  (),info@scranet.org,,2020,47838
Alter Logistics Company,"2117 State Street  Suite 300 Bettendorf, IA 52722 United States",,,,,(563) 344-5114,2117,2117,,https://www.alterlogistics.com,Member Get (a-Member);  (),info@scranet.org,,2015,40032
Ambercor Shipping Inc.,"703 Evans Avenue  Suite 201 Toronto, ON M9C 5E9 Canada",,,,,(416) 841-7000,703,703,christian.wagner@ambercor.com,https://www.ambercor.com,Member Get (a-Member);  (),info@scranet.org,,2019,46313
Ambrose Rigging City Division,"121 Commerce Dr Montgomeryville, PA 18936 United States",,,,,(215) 674-9232,121,121,,https://www.ambroserigging.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & RiggingT-Transportation,2008,16491
AMCS Technologies,"36 Rue Lamirault  ZAC De Lamirault , Collegien 77 090 France",,,,,+33 620 666 376,77 090,77 090,radoine.bouajaj@amcs.fr,https://www.amcs.fr,Member Get (a-Member);  (),info@scranet.org,,2018,45130
"AME, Inc.","P.O. Box 909 Fort Mill, SC 29716-0909 United States",,,,,(803) 548-7766,909,909,,https://www.ameonline.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & RiggingM-MillwrightT-Transportation,1979,10278
"AME, Inc. (B)","112 Sparkman Dr. Columbia, SC 29209 United States",,,,,(803) 269-9705,112,112,,https://www.ameonline.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & RiggingM-Millwright,,46005
"AME, Inc. (B)","4517 Equipment Drive Charlotte, NC 28269 United States",,,,,(704) 596-4075,4517,4517,,https://www.ameonline.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & RiggingM-MillwrightT-Transportation,,11707
"AME, Inc. (B)","P.O. Box 5931 Spartanburg, SC 29304 United States",,,,,(864) 579-7840,5931,5931,,https://www.ameonline.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & RiggingM-MillwrightT-Transportation,,12848
"American Aerial Services, Inc.","33 Allen Ave. Ext. Falmouth, ME 04105 United States",,,,,(207) 797-8987,04105,04105,,https://,Member Get (a-Member);  (),info@scranet.org,C-Crane & Rigging,2006,27315
American Crane & Rigging LLC,"4439 South 87th Street Omaha, NE 68127-1612 United States",,,,,(402) 592-3668,4439,4439,,https://www.americancraneandrigging.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & RiggingT-Transportation,1997,10331
American Lifting Solutions,"555 Choctaw Drive Baton Rouge, LA 70805 United States",,,,,(225) 202-8233,555,555,garrett@ameri-lifting.com,https://www.Ameri-Lifting.com,Member Get (a-Member);  (),info@scranet.org,,2023,51811
"American Machinery Movers, Inc.","247 Iris Avenue Jefferson, LA 70121 United States",,,,,(504) 834-4930,247,247,,https://www.amm-move.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & RiggingS-SteelT-Transportation,2003,16243
"American Riggers, Inc.","710 S Myrtle Ave Monrovia, CA 91016 United States",,,,,(626) 446-8177,710,710,,https://www.ariggers.com,Member Get (a-Member);  (),info@scranet.org,C-Crane & RiggingM-MillwrightT-Transportation,2016,27949
